tags,id,plylst_title,songs,like_cnt,updt_date,prompt
"['비오는날', '감성', '혼자', '새벽', '새벽감성', '우울', '토닥토닥', '센치', '위로', '울고싶은날']",1128,모든걸 다 내려놓고 싶을때 들으면 눈물나는 노래,"[285708, 649626, 635639, 507808, 697100, 118049, 379112, 112153, 248696, 685688, 8719, 539109, 106931, 531820, 32385, 552839, 495631, 354535, 643254, 328705, 511710, 116114, 418343, 268577, 524034, 214494, 677895, 625408, 541670, 493153, 241525, 100271, 286934, 236924, 473256, 447170]",1509,2019-07-22 12:27:22,비오는날 감성 혼자 새벽 새벽감성 우울 토닥토닥 센치 위로 울고싶은날
"['햇살', '봄', '카페', '봄노래', '소풍', '드라이브', '벚꽃', '기분전환', '분위기', '따뜻한']",97675,꽃길따라 살랑이는 봄바람을 닮은 노래,"[424630, 527112, 701557, 480729, 286543, 352980, 300087, 343974, 586653, 653277, 482495, 578474, 228026, 238672, 483792, 446812, 207232, 337267, 457124, 516906, 214965, 455141, 581789, 39990, 586556, 178044, 617900, 27469, 468023, 205229, 551256, 278995, 638979, 480674, 125822, 610179, 316600, 542705, 437682, 424672, 441386, 235900, 225541, 274953, 340679, 571201, 4711, 390434, 652798, 257291, 655561, 694125, 188215, 643070, 532876, 132994, 650764, 130275, 635759, 242065, 9071, 246367, 468194, 113385, 484456, 198951, 471741, 250, 619372, 400404, 699304, 257434, 318871, 579728, 542656, 18975, 614374, 348200, 468218, 650494, 37233, 53688, 330553, 2188, 289625, 339282, 273934, 411774, 149843, 144663, 285079, 501822]",794,2019-08-16 02:34:41,햇살 봄 카페 봄노래 소풍 드라이브 벚꽃 기분전환 분위기 따뜻한
"['힙합', '겨울', '감성힙합', '봄', '드라이브', '여행', '감성', '기분전환', '사랑', '신나는']",87937,트렌디한 겨울밤 감성힙합!!,"[175944, 689543, 618150, 664391, 274716, 235609, 441810, 109190, 412068, 95369, 303268, 166446, 115765, 356735, 474374, 421683, 182999, 130275, 347303, 635759, 500114, 163560, 662086, 400157, 637303, 679405, 128184, 672319, 392676, 77659, 232224, 411339, 514450, 92584, 534517, 583792, 378842, 15958, 644806, 80103, 476588, 367575, 253031, 267735, 677063, 366653, 338690, 47157, 529629, 507804, 237407, 426812, 376821, 9680, 510512, 477964, 682550, 658431, 403189, 198416, 334095, 695494, 527887, 148170, 285721, 339124, 143877, 569548, 331975, 633203, 102004, 665518, 199390, 77781, 134583, 380859, 18995, 524387, 628512, 702912, 167809, 43027, 565629, 184015, 482772, 485957, 551030, 424074, 96731, 502709, 243380, 669617, 244640, 179461, 509688, 148657, 535483, 331864, 6701, 661046, 504190, 678294, 505036, 549547, 296887, 377243, 198035, 611998, 87081, 441014, 482295, 369922, 309261, 514556, 648538, 705512, 346519, 570214, 92913, 379187, 257097, 318920, 57402, 593211, 638064, 411756, 97649, 645130, 63976, 461341, 278145, 423915, 412616, 363407, 147405, 286543, 242547, 18117, 636116, 161768, 341306, 178911, 299899, 363570, 347347, 656010, 396909, 386424, 38765, 415686, 313223, 387345, 236004, 260612, 175805, 620252, 111949, 234422, 542823, 662362, 565057, 68305, 269760, 183878, 522525, 152262, 643671, 42154, 218019, 476975, 467319, 495121, 270516, 357358, 441061, 80096, 197016, 87412, 22680, 146819, 20502, 479956, 435732, 37150, 342257, 306115, 242662, 355762, 308034, 378594, 92651, 676002, 469000, 605067, 173268, 364217, 39233, 6409, 644602, 186551]",3710,2019-12-13 22:14:17,힙합 겨울 감성힙합 봄 드라이브 여행 감성 기분전환 사랑 신나는
"['기분좋은', '여름', '활기찬', '아침', '상쾌한', '시원한', '청량한', '인디']",49073,아침에 잘 들은 노래 한 곡이 하루를 기쁘게한다2,"[649947, 17192, 261212, 251135, 52247, 413129, 115359, 364880, 179394, 377467, 324931, 656284, 19601, 401662, 483287, 331340, 128408, 684175, 131015, 553115, 591633, 520365, 678196, 547747, 218550, 504251, 510856, 653484, 135798, 570463, 595626, 279891, 280500, 403076, 88265, 385557, 249260, 631742]",909,2019-07-08 06:01:40,기분좋은 여름 활기찬 아침 상쾌한 시원한 청량한 인디
"['피크닉', '휴식', '노동요', '아침', '주말', '드라이브', '재즈', '여행', '출근길', '기분전환']",78729,날씨좋은 주말! 기분좋은 보싸노바 재즈와 즐기는 피크닉,"[240135, 373037, 392976, 109977, 44737, 635386, 540535, 299554, 435039, 292024, 374116, 62696, 35971, 28563, 507921, 495979, 231334, 7574, 512619, 595100, 614626, 496275, 112358, 437682, 556858, 145328, 96695, 42774, 318101, 131887, 649722, 587847, 465483, 120767, 508611, 523892, 698012, 442697, 459072, 636339, 523978, 452550, 95754, 626314, 685515, 219531, 240225, 86139, 429587, 495460, 605943, 566297, 412245, 142293, 268441, 219022, 703239, 247039, 427888, 356578, 128648, 260984, 261869, 229240, 23997, 78535, 625243, 62990, 508382, 340211, 527742, 345167, 60673, 97927, 166402, 137322, 571565, 124256, 319426, 160414, 588440, 172078, 675340, 202012, 560369, 422444, 126689, 417075, 290178, 464316, 352506, 454944, 658171, 109408, 154390, 463995, 622767, 537236, 27624, 100032, 665254, 645901]",2587,2019-09-21 01:04:54,피크닉 휴식 노동요 아침 주말 드라이브 재즈 여행 출근길 기분전환
"['휴식', '밤', '잔잔한', '새벽', '감성', '뉴에이지', '피아노', '밤에듣기좋은노래']",39508,제목이 기억안나서 못들었던 뉴에이지,"[420205, 229473, 621441, 337447, 291668, 358549, 240622, 61691, 610231, 359862, 499403, 552555, 264652, 639073, 468237, 535610, 643070, 486724, 228304, 63913, 554662, 104065, 707346, 399861, 252185, 464539, 401212, 281707, 494965, 20735, 508314, 492887, 508382, 650171, 514704, 258909, 28088, 132241, 373193, 543191, 341965, 345719, 315445, 376490, 104124, 64697, 273094, 625785, 312233, 472722, 559052, 555268, 666605, 47895, 266114, 238104, 39829, 54282, 141574, 580668, 5724, 362771, 619985, 418595, 422934, 612701, 578566, 168689, 314261, 256295, 360908, 176837, 646314, 273145, 212739, 224568, 249942, 385174, 556161, 473234, 567046, 562305, 505548, 696560, 642580, 686784, 494816, 323212, 605710, 566682, 629229, 389086, 299269, 632829, 247274, 52879, 169267, 481327, 275013, 524138, 52192, 6521, 615128, 340316, 436847, 350637, 646470, 258126, 349903, 75974, 76216, 524891, 347950, 145710, 574856, 643978, 399418, 503687, 422987, 131736, 111933, 583621, 216514, 130680, 360466, 5991, 205939, 8993, 412198, 43341, 423716, 660778, 495352, 454906, 193465, 344718, 203915, 577658, 398482, 595181, 544151, 218405, 642526, 408926, 499927, 589420, 577697, 407825, 441393, 81126, 233468, 647498, 658645, 298577, 285872, 620130, 145369, 257116, 188399, 326653, 538595, 99734, 539941, 49700, 479492, 573870, 308648, 364514, 169246, 335116, 392212, 68399, 364486, 513282, 75129, 358091, 106933, 702488, 361798, 380806, 43203, 122589, 322561, 377101, 636579, 29112, 529664, 18410, 437997]",20677,2019-11-30 23:25:24,휴식 밤 잔잔한 새벽 감성 뉴에이지 피아노 밤에듣기좋은노래
"['비오는날', '감성', '밤', '잔잔한', '새벽감성', '새벽', '쓸쓸한', '휴식', '팝', '달닻']",62801,늦은 밤 혼자 듣기 좋은 잔잔하고 감성적인 팝송!!,"[569413, 193311, 213435, 478357, 369857, 539517, 229828, 4618, 686694, 587995, 312980, 26121, 481460, 182486, 658984, 572930, 706284, 185346, 349094, 163170, 452237, 236597, 428123, 570811, 182368, 166722, 701926, 256434, 86721, 410785, 707274, 348821, 7458, 113160, 367473, 673371, 46952, 541319, 44861, 31755, 57660, 555663, 654004, 311795, 159622, 45322, 685651, 152631, 510804, 364275, 264812, 367997, 430508, 14625, 618848, 85366, 657583, 512049, 460823, 33881, 435445, 311846, 687273, 135978, 308836, 389663, 504629, 608809, 282354, 20494, 265564, 416353, 387351, 391721, 348466, 365148, 96171, 290640, 805, 120641, 168528, 130418, 663450, 630442, 99100, 67259, 556807, 383615, 559054, 412442, 491986, 273352, 318045, 340354, 370838, 107114, 466115, 209298, 511392, 679948, 570188, 620367, 689439, 170637, 596058, 31935, 416377, 328909, 571985, 695744]",654,2019-11-23 09:51:56,비오는날 감성 밤 잔잔한 새벽감성 새벽 쓸쓸한 휴식 팝 달닻
"['겨울', '감성', '애절한', '발라드', '슬픔', '가요', '이별', '감미로운', 'ralalra']",140230,"추천 ♬ 다양한 감수성, 2000 Ballad ♪ No.01","[148917, 561299, 527462, 701561, 418859, 46162, 111644, 481468, 143492, 518960, 230907, 578240, 664949, 107118, 402779, 410571, 456665, 263857, 279590, 617675, 347488, 1236, 654764, 371691, 173686, 593128, 331024, 301091, 424202, 161744, 488735, 475659, 94798, 176650, 558207, 651332, 199433, 456474, 207248, 218039, 551409, 170378, 339077, 370785, 585216, 400017, 579274, 647925, 236009, 319820, 414561, 174200, 659426, 45498, 453652, 14333, 655636, 440848, 331933, 374440, 586987, 117595, 565488, 610957, 176961, 571122, 425043, 561221, 162948, 412162, 522350, 135951, 164359, 437682, 99522, 389529, 381344, 443275, 67044, 539492, 514893, 112984, 676492, 584779, 237477, 461062, 679081, 352228, 281997, 664793, 222279, 47242, 553690, 388647, 694043, 81213, 266361, 109574, 631134]",741,2019-07-25 17:41:51,겨울 감성 애절한 발라드 슬픔 가요 이별 감미로운 ralalra
"['가을', 'Jazz', 'Vocal', 'autumn', '쓸쓸', '낙엽', '보컬재즈', '싱숭생숭']",141035,소리 소문 없이 찾아온 가을에 듣는 보컬 재즈,"[372571, 615362, 365329, 75174, 308089, 594860, 438814, 644744, 457886, 239180, 430071, 462392, 11054, 583158, 79517, 467271, 145328, 553267, 659061, 184394, 222610, 159225, 200649, 698012, 562871, 262506, 442697, 235318, 130282, 216666, 454586, 157318, 405308, 241463, 45514, 602814, 271703, 91257, 499139, 252331, 658064, 673728, 335757, 61964, 520867, 679619, 609960, 391910, 12522, 513276]",2360,2019-09-02 06:00:26,가을 Jazz Vocal autumn 쓸쓸 낙엽 보컬재즈 싱숭생숭
"['과거', '아이돌', '드라이브', '댄스', '추억', '명곡', '기분전환', '2000년대', '회상', '신나는']",1517,명곡만 쏙! 00년대 댄스,"[106479, 379841, 153904, 405687, 25703, 270593, 420005, 311997, 382844, 578283, 644788, 141998, 294435, 39988, 302621, 704666, 464284, 262381, 87497, 204380, 326955, 138831, 670445, 345004, 612938, 493202, 547940, 74403, 614707, 194542, 351757, 331003, 509484, 589292, 41702, 203613, 256854, 371829, 413823, 632755, 144826, 200168, 324948, 544625, 553894, 407044, 26627, 130494, 48883, 104264]",1149,2019-12-16 06:00:28,과거 아이돌 드라이브 댄스 추억 명곡 기분전환 2000년대 회상 신나는
